Heure,Valeur
0,0
10,25920
20,20880
30,19800
40,24480
51,26280
61,13320
71,20880
81,14760
91,13320
101,9720
111,21600
121,4680
131,24120
141,12240
152,20520
162,11520
172,15480
182,15120
192,10800
202,21960
212,19800
222,10800
232,24120
242,7200
252,13320
263,9360
273,9000
283,6840
293,18720
303,1800
313,16560
323,14400
333,6480
343,16200
354,10080
364,1080
374,14400
384,12960
394,4680
404,7200
414,11160
424,14400
434,7560
444,21600
454,8640
465,5040
475,18000
485,4680
495,14400
505,13320
515,9360
525,6840
535,19800
545,6840
556,19800
566,10800
576,10080
586,16200
596,1800
606,10440
616,7200
626,10440
636,5040
646,7200
656,11160
666,14400
677,1800
687,13680
697,3240
707,11880
717,4320
727,6480
737,6840
747,12240
757,8280
768,11160
778,16200
788,6120
798,10080
808,21600
818,6840
828,20160
838,10440
848,11160
858,15120
868,14040
879,12240
889,6480
899,6480
909,20880
919,5400
929,13680
939,13320
949,10440
959,20880
970,4680
980,11160
990,15840
1000,9000
1010,10800
1020,16200
1030,6840
1040,15840
1050,7560
1060,9000
1071,24480
1081,1800
1091,13680
1101,17640
1111,10080
1121,21240
1131,7560
1141,18000
1151,11880
1161,16200
1171,10080
1182,20880
1192,8640
1202,6480
1212,16560
1222,9720
1232,6840
1242,10800
1252,11160
1262,9720
1273,19080
1283,7920
1293,10440
1303,12240
1313,1080
1323,1080
1333,1800
1343,1080
1353,1080
1363,1800
1373,1080
1384,1080
1394,1800
1404,1080
1414,1080
1424,1800
1434,1080
1444,1080
1454,1800
1464,1080
1475,1080
1485,1800
1495,1080
1505,1080
1515,1800
1525,1080
1535,1080
1545,1800
1555,1080
1566,1080
1576,1800
1586,1080
1596,1080
1606,1800
1616,1080
1626,1080
1636,1800
1646,1080
1657,1080
1667,1800
1677,1080
1687,1080
1697,1800
1707,1080
1717,1080
1727,1800
1737,1080
1748,1080
1758,1800
1768,1080
1778,1080
1788,1800
1798,1080
1808,1080
1818,1800
1828,1080
1838,1080
1849,1800
1859,1080
1869,1080
1879,1800
1889,1080
1899,1080
1909,1800
1919,1080
1929,1080
1939,1800
1950,1080
1960,1080
1970,1800
1980,1080
1990,1080
2000,1800
2010,1080
2020,1080
2031,1800
2041,1080
2051,1080
2061,1800
2071,1080
2081,1080
2091,1800
2101,1080
2111,1080
2122,1800
2132,1080
2142,1080
2152,1800
2162,1080
2172,1800
2182,1080
2192,1080
2202,1800
2213,1080
2223,1080
2233,1800
2243,1080
2253,1080
2263,1800
2273,1080
2283,1080
2293,1800
2304,1080
2314,1080
2324,1800
2334,1080
2344,1080
2354,1800
2364,1080
2374,1080
2384,1800
2395,1080
2405,1080
2415,1800
2425,1080
2435,1080
2445,1800
2455,1080
2465,1080
2475,1800
2485,1080
2496,1080
2506,1800
2516,1080
2526,1080
2536,1800
2546,1080
2556,1080
2566,1800
2576,1080
2587,1080
2597,1800
2607,1080
2617,1080
2627,1800
2637,1080
2647,1080
2657,1800
2667,1080
2677,1080
2688,1800
2698,1080
2708,1080
2718,1800
2728,1080
2738,1080
2748,1800
2758,1080
2768,1080
2778,1800
2789,1080
2799,1080
2809,1800
2819,1080
2829,1080
2839,1800
2849,1080
2859,1080
2869,1800
2880,1080
2890,1080
2900,1800
2910,1080
2920,1080
2930,1800
2940,1080
2950,1080
2960,1800
2971,1080
2981,1080
2991,1800
3001,1080
3011,1080
3021,1800
3031,1080
3041,1080
3051,1800
3062,1080
3072,1080
3082,1800
3092,1080
3102,1080
3112,1800
3122,1080
3132,1800
3142,1080
3152,1080
3163,1800
