Heure,Valeur
0,0
10,1800
20,3600
30,6120
41,720
51,3240
61,2520
71,12240
81,8280
91,1080
101,6120
112,7560
122,7200
132,6120
142,4680
152,6120
162,3600
172,7200
182,13680
192,1080
203,6840
213,7920
223,2520
233,10080
243,720
253,9360
263,1440
273,9360
283,14760
294,1080
304,1080
314,10440
324,3960
334,5400
344,8640
354,360
364,7920
374,1440
385,6120
395,11520
405,7560
415,360
425,6840
435,7920
445,8280
455,5400
465,9000
476,3240
486,8280
496,14400
506,1080
516,6120
526,7560
536,7200
546,1080
556,1080
566,1080
