Heure,Valeur
0,0
10,8280
20,11520
30,3600
41,1080
51,2520
62,7560
72,4320
82,360
93,360
103,2160
113,2520
123,720
133,2880
144,2520
154,2160
164,1080
174,1080
184,1800
194,2880
205,4680
215,8640
225,720
236,360
246,3240
256,3600
266,8280
276,5400
286,1800
297,1080
307,2160
317,3240
327,1080
337,1440
347,720
357,5400
367,1080
377,9000
387,2160
397,2520
408,360
418,2880
428,1800
438,3240
448,2520
458,4320
468,3960
478,4320
488,3960
498,2520
508,4680
518,3960
529,2160
539,3240
549,1440
559,1800
569,3960
579,4680
589,5040
599,5400
609,5040
619,2880
629,1440
640,5760
650,3240
660,720
670,3240
680,2160
690,1080
700,3240
710,1080
720,3600
730,3600
741,720
751,5760
761,5760
771,5400
781,3960
791,4320
801,2880
811,2880
821,6480
832,4680
842,2520
852,6480
862,2880
872,6480
882,4320
892,1080
902,2520
912,5400
922,1080
932,1080
943,9000
953,6840
963,1080
973,9000
983,2520
993,3240
1003,1440
1013,720
1023,2880
1033,1800
1043,2880
1053,720
1063,2520
1074,1080
1084,4680
1094,2160
1104,3960
1114,2160
1124,4680
1134,360
1144,8640
1154,3960
1164,4320
1174,2520
1184,2880
1194,4680
1205,3240
1215,2520
1225,8280
1235,2880
1245,720
1255,360
1265,8280
1275,5400
1285,2520
1295,1440
1306,3240
1316,360
1326,3600
1336,2520
1346,360
1356,6480
1366,7200
1376,360
1386,4680
1396,6480
1406,6120
1417,8640
1427,9000
1437,1440
1447,7920
1457,5760
1467,1440
1477,3240
1487,720
1497,5400
1507,9720
1517,2520
1528,6480
1538,5040
1548,1440
1558,4320
1568,3240
1578,5760
1588,3240
1598,2520
1608,3240
1618,2160
1628,6480
1638,8640
1649,2520
1659,8640
1669,8280
1679,1080
1689,3600
1699,2880
1709,2520
1719,4320
1729,1800
1739,1440
1749,2160
1760,360
1770,720
1780,2880
1790,1800
1800,720
1810,5040
1820,5760
1830,360
1840,1800
1850,9720
1860,1800
1870,7920
1881,5760
1891,2160
1901,2520
1911,6120
1921,720
1931,2880
1941,10080
1951,2520
1961,5400
1971,6840
1981,4680
1991,2520
2001,1080
2012,3960
2022,7920
2032,1080
2042,720
2052,3240
2062,4320
2072,4680
2082,10800
2092,5040
2102,7920
2112,3960
2122,1440
2132,3600
2143,6480
2153,5040
2163,6840
2173,5400
2183,5400
2193,2160
2203,1800
2213,3600
2223,8280
2233,4680
2244,8280
2254,1080
2264,3960
2274,4320
2284,1080
2294,4680
2304,4320
2314,5040
2324,1440
2334,1080
2344,11520
2354,5040
2365,4320
2375,2520
2385,7560
2395,3600
2405,8280
2415,3600
2425,6480
2435,6120
2445,2520
2455,2520
2465,5040
2475,2520
2485,360
2496,5400
2506,2880
2516,6120
2526,3960
2536,720
2546,1440
2556,6840
2566,3600
2576,2520
2586,1440
2596,9360
2606,1440
2617,1080
2627,720
2637,1440
2647,3600
2657,2880
2667,2160
2677,3600
2687,5040
2697,3960
2707,1080
2717,5040
2727,1800
2738,9720
2748,5760
2758,5040
2768,7200
2778,2520
2788,1080
2798,6120
2808,4680
2818,720
2828,1440
2838,6840
2848,3600
2858,4680
2868,1440
2879,5040
2889,4680
2899,4680
2909,2520
2919,6480
2929,3240
2939,720
2949,5400
2959,4320
2969,2880
2979,3240
2990,4680
3000,8640
3010,6480
3020,2880
3030,6840
3040,5040
3050,10080
3060,360
3070,6480
3080,2520
3090,7560
3100,5040
3110,7920
3121,1440
3131,5760
3141,10440
3151,3240
3161,7560
3171,5040
3181,1080
3191,3240
3201,2160
3211,4680
3221,3240
3231,3960
3241,2160
3252,1800
3262,2880
3272,1440
3282,1800
3292,6840
3302,1080
3312,1440
3322,1080
3332,2160
3342,3960
3352,720
3362,1800
3373,4680
3383,2520
3393,1800
3403,13680
3413,360
3423,720
3433,8640
3443,7920
3453,5040
3463,2520
3473,1080
3483,3240
3494,5400
3504,3600
3514,4680
3524,3960
3534,2160
3544,2880
3554,3240
3564,2520
3574,6120
3584,3600
3594,5400
3605,2880
3615,4320
3625,2520
3635,4680
3645,3240
3655,4320
3665,6120
3675,9360
3685,3960
3695,1800
3705,6840
3715,5040
3726,1800
3736,4320
3746,360
3756,7560
3766,3240
3776,1800
3786,10080
3796,720
3806,6840
3816,6120
3826,5400
3836,360
3847,6480
3857,2880
3867,3600
3877,3240
3887,4680
3897,5040
3907,6120
3917,6840
3927,360
3937,2160
3947,6840
3957,6120
3967,1080
3977,1080
3987,4320
3998,9720
4008,3600
4018,4680
4028,3960
4038,9360
4048,1080
4058,3600
4068,3960
4078,8280
4088,4680
4098,3240
4108,3960
4118,1440
4128,3240
4139,3960
4149,3240
4159,360
4169,1080
4179,9000
4189,4320
4199,8280
4209,6120
4219,4320
4229,6120
4239,3600
4249,3240
4259,1800
4269,5400
4279,2520
4290,4320
4300,5400
4310,2880
4320,1080
4330,6480
4340,3240
4350,1800
4360,1800
4370,6120
4380,1080
4390,2880
4400,3960
4410,2880
4420,6480
4431,2160
4441,1800
4451,7200
4461,2880
4471,4680
4481,4320
4491,5760
4501,2160
4511,2880
4521,2160
4531,3960
4541,4320
4551,2520
4561,1080
4572,1800
4582,720
4592,1440
4602,6480
4612,5400
4622,3600
4632,1800
4642,6840
4652,1800
4662,9360
4672,360
4682,2160
4692,7200
4703,2520
4713,6840
4723,6120
4733,2880
4743,6840
4753,4680
4763,3960
4773,2880
4783,5760
4793,4680
4804,3600
4814,8640
4824,2880
4834,3960
4844,7920
4854,720
4864,6480
4874,4680
4884,4320
4894,7560
4904,3240
4914,3960
4925,7200
4935,10440
4945,3960
4955,4320
4965,8640
4975,5400
4985,5760
4995,360
5005,2520
5015,3960
5025,4680
5035,7200
5045,2520
5055,7200
5065,3960
5076,2160
5086,2160
5096,4680
5106,2160
5116,1080
5126,6120
5136,4680
5146,5760
5156,5400
5166,5040
5176,5760
5186,5400
5196,1440
5206,720
5216,5040
5227,9000
5237,360
5247,2520
5257,3600
5267,3960
5277,360
5287,7560
5297,6120
5307,1080
5317,11160
5327,5400
5337,720
5347,1440
5358,360
5368,1800
5378,4680
5388,1800
5398,720
5408,6120
5418,360
5428,1440
5438,8640
5448,3960
5458,3240
5468,7200
5478,3600
5488,2520
5499,9720
5509,720
5519,2520
5529,5400
5539,2160
5549,9000
5559,5400
5569,3600
5579,360
5589,3960
5599,3600
5609,720
5619,9720
5630,3600
5640,720
5650,2880
5660,2160
5670,5040
5680,7200
5690,7560
5700,8640
5710,2520
5720,8280
5730,4320
5741,3240
5751,4320
5761,5760
5771,9720
5781,5760
5791,360
5801,6480
5811,1440
5821,5400
5831,4320
5841,4680
5851,5400
5861,5760
5871,3240
5882,5040
5892,4320
5902,2520
5912,360
5922,4680
5932,1440
5942,1080
5952,7560
5962,2160
5972,1080
5982,1800
5992,6120
6003,3240
6013,4320
6023,3240
6033,360
6043,5760
6053,3600
6063,5760
6073,6480
6083,3240
6093,360
6103,5760
6113,8640
6123,7200
6134,2880
6144,2880
6154,7200
6164,7200
6174,2880
6184,1800
6194,4680
6204,4320
6214,2160
6224,1080
6234,2160
6244,720
6254,9360
6264,6840
6274,5040
6284,6480
6295,720
6305,4680
6315,3600
6325,2880
6335,2160
6345,1800
6355,4320
6365,1800
6375,1800
6385,6120
6395,3240
6405,5760
6416,9000
6426,5040
6436,10080
6446,5760
6456,8280
6466,5040
6476,1800
6486,2880
6496,6120
6506,4320
6516,7200
6526,6120
6536,6480
6546,3240
6556,5400
6567,7200
6577,1080
6587,6120
6597,3240
6607,4680
6617,720
6627,3960
6637,5760
6647,4320
6657,5040
6667,1800
6677,3600
6687,3600
6697,4320
6708,5400
6718,2520
6728,4680
6738,4320
6748,1080
6758,6480
6768,3960
6778,2160
6788,3600
6798,1800
6808,4320
6818,1800
6828,3240
6838,4320
6848,1800
6859,3240
6869,3240
6879,2880
6889,3240
6899,1080
6909,5040
6919,8640
6929,2520
6939,3960
6949,3600
6959,2520
6969,1080
6979,1800
6989,360
7000,1440
7010,1800
7020,2160
7030,2520
7040,5400
7050,15120
7060,3600
7070,3240
7080,4680
7090,2520
7100,6840
7110,8280
7120,3960
7131,360
7141,2880
7151,4680
7161,3240
7171,4320
7181,13320
7191,7920
7201,1080
7211,6840
7221,2880
7231,5040
7242,2160
7252,360
7262,4320
7272,7200
7282,4680
7292,4680
7302,6840
7312,5400
7322,5760
7332,2880
7342,3960
7352,5400
7362,6120
7372,4320
7382,3960
7393,7200
7403,2880
7413,2160
7423,5040
7433,1080
7443,3240
7453,4320
7463,720
7473,3960
7483,7200
7493,1800
7503,5400
7513,6840
7523,3240
7534,3600
7544,2160
7554,3240
7564,5400
7574,3600
7584,1440
7594,3240
7604,9360
7614,1800
7624,2160
7634,3600
7644,4320
7654,5400
7664,2520
7675,1440
7685,4320
7695,4680
7705,5760
7715,5040
7725,1080
7735,4320
7745,3240
7755,1800
7765,4680
7776,2520
7786,2880
7796,2880
7806,6120
7816,3240
7826,720
7836,3960
7846,1080
7856,720
7866,2880
7876,6120
7886,5040
7896,8280
7906,2520
7916,6120
7927,5040
7937,4320
7947,4320
7957,3960
7967,3600
7977,2160
7987,360
7997,360
8025,360
8025,360
8028,2880
8038,2880
8048,2520
8058,2880
8068,5040
8078,3960
8088,2160
8098,5760
8108,6480
8118,3960
8128,3240
8139,6480
8149,2880
8159,720
8169,7920
8179,7920
8189,3240
8199,7560
8209,8280
8219,2880
8229,6120
8239,1800
8249,720
8259,8280
8269,5400
8280,3960
8290,6840
8300,2160
8310,7200
8320,5040
8330,4320
8340,7920
8350,2160
8360,1800
8370,360
8380,4680
8390,5760
8400,4680
8410,3240
8420,3240
8431,6480
8441,1440
8451,3600
8461,3960
8471,6480
8481,3240
8491,720
8501,1800
8511,1080
8521,360
8531,1800
8541,1800
8551,2160
8561,2520
8572,1440
8582,4680
8592,7920
8602,5400
8612,720
8622,5760
8632,3240
8642,11880
8652,7920
8662,3960
8672,720
8682,3600
8692,6480
8703,720
8713,3960
8723,7920
8733,5760
8743,3240
8753,5400
8763,5400
8773,5400
8783,3960
8793,2880
8803,1440
8814,6120
8824,2160
8834,7920
8844,1800
8854,5760
8864,2520
8874,1800
8884,6120
8894,5400
8904,2520
8914,4320
8924,6480
8934,3960
8944,3960
8954,3960
8965,2880
8975,4320
8985,3960
8995,3600
9005,5040
9015,5400
9025,5400
9035,2880
9045,8280
9055,1080
9065,5400
9075,5760
9085,360
9096,720
9106,2880
9116,1080
9126,5760
9136,4680
9146,4680
9156,6840
9166,7560
9176,1080
9186,10440
9196,2160
9206,4320
9217,6120
9227,5040
9237,2160
9247,9720
9257,6120
9267,5400
9277,5040
9287,7560
9297,5760
9307,2520
9317,8640
9327,7200
9337,2520
9347,5760
9358,3240
9368,4680
