Heure,Valeur
0,0
10,31320
21,26280
31,6480
41,15840
51,13320
61,23040
71,14040
81,14400
91,17640
101,18000
111,17640
122,15480
132,14040
142,15120
152,10080
162,21960
172,18360
182,22680
192,18000
202,16920
212,14040
223,19440
233,24480
243,16560
253,7560
263,13320
273,11160
283,13680
293,16560
303,26640
314,12240
324,26280
334,9000
344,16560
354,9720
364,22320
374,21960
384,10440
394,21600
404,21240
415,18720
425,12600
435,9360
445,11160
455,20520
465,17640
475,9000
485,7560
495,12600
506,19440
516,25200
526,15840
536,10080
546,6480
556,26280
566,26640
576,16920
586,11160
597,10440
607,18360
617,24480
627,18000
637,15840
647,23400
657,11160
667,21600
677,7200
687,19800
698,21600
708,18000
718,14400
728,9000
738,17280
748,16200
758,15480
768,22320
778,15840
789,23400
799,31320
809,16920
819,16920
829,26280
839,12240
849,26640
859,16560
869,18360
880,14400
890,16920
900,14040
910,23040
920,10440
930,13320
940,9000
950,16200
960,17640
970,27360
980,25560
991,19440
1001,24840
1011,20880
1021,18360
1031,25200
1041,22320
1051,17280
1061,25920
1071,17280
1081,15120
1092,16560
1102,20160
1112,15840
1122,13680
1132,14400
1142,24480
1152,25560
1162,34920
1172,19080
1182,29520
1193,24120
1203,9360
1213,1080
1223,3240
