Heure,Valeur
0,720
5,9360
10,38880
15,30960
20,30960
25,1440
30,13680
35,7920
40,4320
45,8640
50,24480
55,25920
60,30240
65,13680
70,38880
75,20880
81,16560
86,12960
91,2880
96,10800
101,25200
106,36720
111,21600
116,10800
121,30240
126,41040
131,20160
136,14400
141,25920
146,14400
151,15840
156,17280
161,7920
166,19440
171,33840
177,18720
182,10800
187,42480
192,23760
197,25920
202,3600
207,9360
212,12960
217,7920
222,48960
227,30240
232,25200
237,37440
242,35280
247,23760
252,13680
257,15120
262,28080
267,41760
273,69120
278,13680
283,2160
288,720
