Heure,Valeur
0,0
10,42840
20,96120
30,66960
41,62640
51,63360
61,61920
72,64800
82,33120
92,37080
102,32040
112,72360
122,52920
132,51480
142,39960
153,68040
163,49680
173,49320
184,48600
194,63000
205,34560
215,45360
225,75600
236,42840
247,61920
258,54360
268,61200
278,44640
288,39600
298,45720
308,75600
318,52560
328,70200
338,39600
350,72720
360,75960
370,69840
380,60120
390,30600
400,360
410,2160
421,3600
431,6120
441,7560
451,360
461,360
471,360
